Agent,Src,Dest,TimetoTravel,Price,Src_State,Dest_State
IndiGo,Banglore,New Delhi,2h 50m,3897,Karnataka,Delhi
Air India,Kolkata,Banglore,7h 25m,7662,West Bengal,Karnataka
Jet Airways,Delhi,Cochin,19h,13882,Delhi,Kerala
IndiGo,Kolkata,Banglore,5h 25m,6218,West Bengal,Karnataka
IndiGo,Banglore,New Delhi,4h 45m,13302,Karnataka,Delhi
SpiceJet,Kolkata,Banglore,2h 25m,3873,West Bengal,Karnataka
Jet Airways,Banglore,New Delhi,15h 30m,11087,Karnataka,Delhi
Jet Airways,Banglore,New Delhi,21h 5m,22270,Karnataka,Delhi
Jet Airways,Banglore,New Delhi,25h 30m,11087,Karnataka,Delhi
Multiple carriers,Delhi,Cochin,7h 50m,8625,Delhi,Kerala
Air India,Delhi,Cochin,13h 15m,8907,Delhi,Kerala
IndiGo,Kolkata,Banglore,2h 35m,4174,West Bengal,Karnataka
Air India,Chennai,Kolkata,2h 15m,4667,Tamil Nadu,West Bengal
Jet Airways,Kolkata,Banglore,12h 10m,9663,West Bengal,Karnataka
IndiGo,Kolkata,Banglore,2h 35m,4804,West Bengal,Karnataka
Air India,Delhi,Cochin,26h 35m,14011,Delhi,Kerala
SpiceJet,Delhi,Cochin,4h 30m,5830,Delhi,Kerala
Jet Airways,Delhi,Cochin,22h 35m,10262,Delhi,Kerala
Air India,Delhi,Cochin,23h,13381,Delhi,Kerala
Jet Airways,Delhi,Cochin,20h 35m,12898,Delhi,Kerala
GoAir,Delhi,Cochin,5h 10m,19495,Delhi,Kerala
Air India,Banglore,New Delhi,15h 20m,6955,Karnataka,Delhi
IndiGo,Banglore,Delhi,2h 50m,3943,Karnataka,Delhi
IndiGo,Banglore,Delhi,2h 55m,4823,Karnataka,Delhi
Jet Airways,Kolkata,Banglore,13h 20m,7757,West Bengal,Karnataka
Jet Airways,Delhi,Cochin,15h 10m,13292,Delhi,Kerala
IndiGo,Delhi,Cochin,5h 45m,8238,Delhi,Kerala
GoAir,Delhi,Cochin,5h 55m,7682,Delhi,Kerala
Vistara,Banglore,Delhi,2h 50m,4668,Karnataka,Delhi
Vistara,Chennai,Kolkata,2h 15m,3687,Tamil Nadu,West Bengal
Vistara,Chennai,Kolkata,2h 15m,3687,Tamil Nadu,West Bengal
Air India,Kolkata,Banglore,13h 25m,13227,West Bengal,Karnataka
IndiGo,Banglore,Delhi,2h 50m,4423,Karnataka,Delhi
Jet Airways,Delhi,Cochin,22h,10919,Delhi,Kerala
Jet Airways,Delhi,Cochin,5h 30m,12373,Delhi,Kerala
IndiGo,Delhi,Cochin,10h 25m,5894,Delhi,Kerala
SpiceJet,Kolkata,Banglore,5h 15m,4649,West Bengal,Karnataka
Air India,Kolkata,Banglore,2h 30m,6245,West Bengal,Karnataka
Jet Airways,Banglore,New Delhi,6h 15m,19225,Karnataka,Delhi
Jet Airways,Delhi,Cochin,11h 55m,14924,Delhi,Kerala
Multiple carriers,Delhi,Cochin,11h 5m,9646,Delhi,Kerala
Air India,Banglore,New Delhi,8h 30m,8714,Karnataka,Delhi
Jet Airways,Delhi,Cochin,22h 5m,12373,Delhi,Kerala
Air Asia,Banglore,Delhi,2h 45m,3383,Karnataka,Delhi
Multiple carriers,Delhi,Cochin,12h,13062,Delhi,Kerala
SpiceJet,Banglore,New Delhi,2h 50m,3527,Karnataka,Delhi
IndiGo,Banglore,Delhi,2h 50m,3943,Karnataka,Delhi
Air India,Chennai,Kolkata,2h 15m,4667,Tamil Nadu,West Bengal
Air India,Kolkata,Banglore,16h 5m,6117,West Bengal,Karnataka
Jet Airways,Delhi,Cochin,19h 55m,11150,Delhi,Kerala
Jet Airways,Delhi,Cochin,3h 15m,7202,Delhi,Kerala
Jet Airways,Kolkata,Banglore,25h 20m,12121,West Bengal,Karnataka
