train_no,train_name,source_station_name,destination_station_name,distance,timetotravel,Base_Fare,source_state,destination_state
107.0,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN .,86.267,1.966388889,369.4825894632567,Maharashtra,Goa
108.0,VLNK-MAO-SWV,MADGOAN .,SAWANTWADI ROAD,86.213,1.908611111,357.4797062656659,Goa,Maharashtra
128.0,MAO-KOP SPEC,MADGOAN .,CHHATRAPATI SHAHU MAHARAJ TERMINUS,228.58,5.289444444,100.49270915091702,Goa,Maharashtra
401.0,BSB BHARATDA,AURANGABAD,VARANASI .,396.4354168,4.955442711,228.48409053316325,Maharashtra,Uttar Pradesh
421.0,LKO-SVDK FTR,LUCKNOW .,SHRI MATA VAISHNO DEVI KATRA,1200.834,20.31388889,518.9589221806077,Uttar Pradesh,Jammu and Kashmir
422.0,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW .,1197.72,20.01611111,513.4147341439676,Jammu and Kashmir,Uttar Pradesh
502.0,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT,1242.681,18.26722222,369.6305730059849,Unknown,Unknown
504.0,PNBE-BTI FTR,PATNA .,BATHINDA,1373.575,20.92916667,282.60162306813044,Unknown,Unknown
506.0,PNBE-PTA FTR,PATNA .,PATIALA,1281.028,19.39888889,518.8397197037857,Unknown,Unknown
557.0,RSD-PJP BSF,URKURA,PANJIPARA,1078.531,23.16,243.9821478339192,Unknown,Unknown
22439.0,SVDK VANDEBHARAT,NEW DELHI,SHMATA VD KATRA,668.759,12.59638889,364.2007839124259,Delhi,Unknown
604.0,PNBE-ASR FTR,PATNA .,AMRITSAR .,1512.817,22.83527778,693.321738125348,Unknown,Unknown
1011.0,CSMT-NGP SF,CST-MUMBAI,NAGPUR .(CR),786.421,11.09166667,187.8336789915332,Maharashtra,Unknown
1037.0,LTT-SWV SPL,LOKMANYA TILAK TERMINUS,SAWANTWADI ROAD,495.142,9.843611111,494.76163327712993,Unknown,Maharashtra
1038.0,SWV-LTT SPL,SAWANTWADI ROAD,LOKMANYA TILAK TERMINUS,493.929,9.668333333,313.8890870826567,Maharashtra,Unknown
1045.0,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,KARMALI,557.492,11.08166667,471.1825640988071,Unknown,Unknown
1119.0,AJNI-KRMI SP,AJNI,KARMALI,920.6955354,11.50869419,562.7166331850505,Unknown,Unknown
1120.0,KRMI-AJNI SP,KARMALI,AJNI,653.3353664,8.16669208,379.72570477053154,Unknown,Unknown
1122.0,KRMI-CSMT SP,KARMALI,CST-MUMBAI,541.519,10.89,350.8788038873386,Unknown,Maharashtra
1196.0,NGP-KRMI SPL,NAGPUR .(CR),KARMALI,1116.266,17.92444444,223.9893691981198,Unknown,Unknown
1301.0,PUNE-MAJN WE,PUNE .,MANGALORE,759.248,15.50166667,429.07151356413794,Unknown,Unknown
1302.0,MAJN-PUNE WE,MANGALORE,PUNE .,756.498,15.46722222,316.1871680671935,Unknown,Unknown
1442.0,DSJ-KK MTY S,DELHI-SAFDAR JANG,KHADKI,1418.7,24.50833333,479.3239810249359,Delhi,Unknown
1655.0,PUNE-JBP SPL,PUNE .,JABALPUR,1037.577,15.60944444,356.469724003082,Unknown,Unknown
1656.0,JBP-PUNE SPL,JABALPUR,PUNE .,1032.921,15.69277778,280.85818679593945,Unknown,Unknown
1705.0,BDTS-JBP SF,BANDRA TERMINUS,JABALPUR,1051.822,15.95138889,239.42963042543803,Unknown,Unknown
1706.0,JBP-BDTS SF,JABALPUR,BANDRA TERMINUS,1048.569,15.93666667,438.7615052356828,Unknown,Unknown
1707.0,JBP-ATT BI-W,JABALPUR,ATARI,188.2557842,2.353197302,496.4979796225694,Unknown,Unknown
1708.0,ATT-JBP BI-W,ATARI,JABALPUR,1254.335219,15.67919023,590.7153808282803,Unknown,Unknown
2025.0,CSMT-KRMI SF,CST-MUMBAI,KARMALI,542.825,11.02527778,651.0080898179001,Maharashtra,Unknown
2026.0,KRMI-CSMT SF,KARMALI,CST-MUMBAI,541.519,10.89,441.2389277902293,Unknown,Maharashtra
2191.0,JBP-SRC SF S,JABALPUR,SANTRAGACHI .,1116.872,21.55611111,384.5373468894365,Unknown,Unknown
2192.0,SRC-JBP SF S,SANTRAGACHI .,JABALPUR,1115.984,21.01722222,529.6321198049712,Unknown,Unknown
2195.0,REWA-BPL SF,REWA,BHOPAL,539.757,9.5025,93.1693025959358,Unknown,Unknown
2196.0,BPL-REWA SF,BHOPAL,REWA,540.264,9.383611111,452.1124589946115,Unknown,Unknown
2515.0,TVC-SCL SPL,TRIVANDRUM CENTRAL,SILCHAR,3732.33,72.89805556,599.5669899152566,Unknown,Unknown
2651.0,PLNI-POY EXP,PALANI,POLLACHI,65.013,1.365555556,476.462519679197,Unknown,Unknown
2652.0,POY-PLNI EXP,POLLACHI,PALANI,67.494,1.416944444,157.14286031412925,Unknown,Unknown
